code,code_name
IND,인디아나폴리스
IQN,퀸강장
IST,이스탄불
ITM,이따미
IWJ,이와미
IZO,이즈모
JAI,자이푸르
JAX,잭슨빌
JDG,제동/정석
JED,제다
JFK,뉴욕
JHB,조호바루
JIB,지부티
JKT,자카르타
JMK,미코노스
KAD,카두나
KAE,강원
KBL,카불로워시
KBV,끄라비
KCH,쿠칭
KCZ,고찌
KEF,케프라비크
KEJ,케메로보
KGF,카라간다
KHH,가오슝
KHI,카라치
KHN,난창
KHV,하바로프스크
KIJ,니이가타/니가타
KIV,키쉬네프
KIX,오사카/간사이
QRO,쿠르타로
AFE,헤타페
HHG,헌팅턴
SBT,사베타
LOP,롬복
SCQ,산티아고데콤포스텔라
NZY,해군항공기지(미샌디애고)/해군항공기지(샌디애고)
TAG,타그빌라란
SLL,살랄라
MED,메디나/메디나공항
ANR,안트베르펜
CAY,카옌/로샹보
MFR,메드포드
ULM,뉴올름
SBD,샌버너디노
VDO,꽝닌/번돈
NYT,네피도
PQC,푸쿡
LYI,린이
ZAD,자다르
YIH,이창
GES,제너럴산토스
MQT,소여
SGD,손도보리손도버그
ATQ,암리차르
YTY,양저우
SMO,산타모니카
HIA,화이안
GLA,글래스고
ZYI,?이씬저우
GOA,제노아
BPE,친황다오
NAG,나그푸르
KBR,코타바루
IOM,맨섬/로날즈웨이
DLI,달랏
NSI,야운데/시말런
VCA,껀터/베트남칸토공항
TGD,포드고리차
TRK,타라칸/주와타
FUJ,후쿠에
ISU,술라이마니야
SHI,이라부/시모지시마
PKX,베이징다싱/다싱
ADJ,암만
SZZ,슈체친
DAT,다퉁
AFA,산라파엘
YYJ,빅토리아
MST,마스트리흐트/마스트리흐트-아헨
ZZZ,기타
UGC,우르겐치
BAR,충하이/충하이보아오
MMY,미야코
PMO,팔레르모/팔코네보르셀리노
TEQ,테키르다
VGO,비고
SGR,휴스턴슈거랜드/슈거랜드
RAC,러신/배튼
VDA,엘라트/오브다
ISL,이스탄불/아타튀르크
SSG,말라보/세인트이사벨
INN,인스부르크
OEY,리야드
HHQ,프라추압
OXF,런던옥스포드
NCU,누쿠스
DHF,아부다비/알다프라
INV,인버네스
NHT,노스홀트
BJX,레온/델바히오공항
KVG,포트모레스비/카비엥
AHO,알게로/알게로-페르티리아
BCO,진카/바코
ISG,이시가키
UDR,우다이푸르
DIA,도하
YEV,마이크주브코
ROZ,로타/로타해군기지
PAD,페드본
HIR,호니아라
YIW,이우
NTG,난퉁
RLG,로스토크
IWO,이오지마
GSE,괘텐부르크
DSN,오르도스
BRN,베른
SMM,샘포르나
TRN,토리노
BAV,바오타우
FDH,프리드리히하펜
BIF,빅스육군비행장
NBS,바이샨/창바이샨
ACC,아크라코토카
WOS,원산/원산갈마
NAP,나폴리
KVO,크랄레보/크랄레보모라바
